num_marked,pearson_mean,pearson_std,kappa_mean,kappa_std
139,0.3692639571465285,0.06355821338769223,0.33254500323304026,0.04227977177440885
140,0.3578804665631014,0.07218818879547476,0.32321215395373476,0.049957436107724455
141,0.356877690376806,0.0705554547832709,0.31991603739411645,0.04609689942355556
142,0.36274200638392806,0.06585678175139581,0.32322707280544316,0.038966374220502
143,0.369370433440939,0.07349034891769353,0.32563301752186363,0.047109037944486364
144,0.3699650577795416,0.0694485882155245,0.3269000670647342,0.042394563503992656
145,0.3506093907421795,0.07374256063070253,0.31632567631185493,0.04386462542609782
146,0.34884128724644914,0.07187482069547935,0.31627509463147835,0.04467267025232206
147,0.3559143460596595,0.08202698485940386,0.3227081003931994,0.054370469308045996
148,0.3611825201024912,0.07931414602665654,0.32033307273179623,0.05792286345875431
149,0.3576081001010536,0.07775729728281049,0.32172706418802627,0.0577765501962531
150,0.363194787563154,0.07770730909277823,0.3346714951913926,0.058733117431671165
151,0.36354223876296465,0.0762956592722417,0.3358785836143614,0.053056888500426516
152,0.3563409287670557,0.08423803783529973,0.33060723834158656,0.0569666516148565
153,0.3654840132856959,0.09211885927294343,0.33769731396934916,0.061420340502728675
154,0.35985503094924715,0.09160896051818977,0.33064803924020214,0.06145174923156792
155,0.3598316451240886,0.09342486115284046,0.3273132031077621,0.06331433525605544
156,0.3648251259260172,0.08936220345399769,0.32843190088008906,0.05510475990528428
157,0.36236499248904547,0.0942182571983083,0.32720661554119185,0.062174499886395826
158,0.3599787302077692,0.09484916075006954,0.3210497518501131,0.06080100027385453
159,0.36418565969891137,0.10049129608285541,0.32468755843611796,0.06830482809928365
160,0.3648409264512956,0.09872087904587676,0.32291289520278754,0.06967520273531208
161,0.3553665819161987,0.08680651537858602,0.31860462973034337,0.06340036102009347
162,0.3614491656206092,0.08747836545718018,0.3250519333178817,0.061363365531163644
163,0.35885081940928976,0.08706824041812192,0.32473241459790747,0.058820253921304105
164,0.35619588207211494,0.08825993364718676,0.319225534074112,0.05915243589685293
165,0.34816902696860463,0.0983842853742478,0.3123963247931893,0.06327935119059822
166,0.3454045860273165,0.09970818954343047,0.3092282346739886,0.06471447806956004
